day,ua_browser_version,ua_browser,ua_form_factor,ua_os_version,ua_os,page_path,page_resource_id,page_type,page_url,location_city,location_region,location_country,referrer_host,referrer_name,referrer_path,referrer_source,referrer_terms,referrer_url,total_sessions,total_carts,total_checkouts,total_orders_placed,total_conversion,avg_duration,total_bounce_rate,total_pageviews,total_visitors
2020-09-21,288,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,,,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,2,0,0,0,0,0s,1,2,2
2020-09-21,288,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Lawrenceville,Georgia,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-22,84,Chrome Mobile,Mobile,7,Android,,,Homepage,https://thebeardroller.com/,,Virginia,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-22,85,Chrome Mobile,Mobile,10,Android,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller?variant=21727675023438,Gettysburg,Pennsylvania,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-22,85,Chrome,Desktop,,Linux,,,Homepage,https://thebeardroller.com/,Seattle,Washington,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-22,,Facebook,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR2JHZDzSe8b4lXPPIHHdc18_6R5Pl6sxBw8O4sQk1Bow7shSjMqtTyojWI,Myrtle Beach,South Carolina,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-22,,Facebook,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR1n8BiDaCwRQ65x1PVYGBpc8IrWs-eNDq8jvQz8-L3B0yWy-Pb4yklno9s,Hendersonville,Tennessee,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,24s,0,3,1
2020-09-22,288,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Greeley,Colorado,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,1m18s,0,5,1
2020-09-22,157,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Franklin,Massachusetts,United States,,,,Direct,,,1,0,1,1,1,1m32s,0,9,1
2020-09-22,288,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Anaheim,California,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-22,288,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Houston,Texas,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,12s,0,3,1
2020-09-22,288,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Charlotte,North Carolina,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-22,288,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,,,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-22,84,Chrome Mobile,Mobile,7,Android,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,,Virginia,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-23,288,Facebook,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,Spring Hope,North Carolina,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-23,,Facebook,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR0RHjRH0tphTDwwdDVPF9f_5jGuEH6u9PF_Wo3NW_Vy9OMEINB-mzYS4l8,,,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-23,289,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Rockwall,Texas,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-23,84,Chrome Mobile,Mobile,7,Android,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,Mountain View,California,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-23,84,Chrome Mobile,Mobile,7,Android,,,Homepage,https://thebeardroller.com/,,Virginia,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-23,85,Chrome,Desktop,,Linux,,,Homepage,https://thebeardroller.com/?fbclid=IwAR24C55TgcIVRLcHkh4yO_2X7RjmPukyenQz_b3wX96yTnwfQD08Q-qxHUc,,,United States,www.facebook.com,Facebook,,Social,,www.facebook.com,1,0,0,0,0,0s,1,1,1
